ano,mes,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10,dia11,dia12,dia13,dia14,dia15,dia16,dia17,dia18,dia19,dia20,dia21,dia22,dia23,dia24,dia25,dia26,dia27,dia28,dia29,dia30,dia31
1974,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,29.1,0.0,19.2,15.1,1.4,0.0,26.1,2.4,1.2,20.3,15.0,52.9,64.2,17.1,11.3,12.6
1974,2,51.5,26.8,18.0,1.1,26.9,0.2,6.2,7.5,2.6,0.0,7.5,0.0,4.6,14.2,0.0,0.0,1.4,0.8,0.9,0.1,0.0,11.9,0.0,1.8,0.0,9.6,17.0,0.8,0.0,0.0,0.0
1974,3,49.0,35.8,43.9,2.8,0.0,32.6,2.6,13.8,83.4,68.2,1.1,53.6,2.9,12.5,29.2,0.1,1.0,7.1,1.2,17.6,22.9,4.6,34.8,3.9,0.0,62.3,0.4,0.0,0.0,0.0,10.0
1974,4,2.7,1.9,37.2,33.4,0.1,4.4,36.0,3.0,7.7,65.7,2.1,3.0,7.3,2.2,2.7,50.5,42.4,1.8,0.0,0.2,36.4,25.6,5.6,37.6,14.0,30.4,46.2,99.4,7.5,1.0,0.0
1974,5,147.0,16.7,12.1,4.3,4.0,0.5,0.0,11.6,4.8,11.0,4.1,0.0,15.6,3.0,0.0,1.2,0.0,33.1,3.0,0.0,69.0,9.2,49.2,0.0,34.8,29.2,8.3,12.7,4.2,10.4,22.6
1974,6,0.5,90.2,0.0,0.3,0.0,0.7,5.4,0.2,0.5,0.0,5.2,0.0,0.0,0.8,36.2,20.6,3.4,0.4,24.0,0.2,1.3,11.2,1.0,0.3,0.0,11.0,0.0,0.4,0.0,7.8,0.0
1974,7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,3.3,1.6,0.7,0.7,0.0,0.0,10.2,0.0,4.3,0.0,4.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
1974,8,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.8,5.0,0.0,0.7,1.2,0.0
1974,9,0.0,17.1,0.8,0.8,0.3,6.4,0.0,0.0,0.0,0.0,2.8,1.4,0.3,0.6,0.0,0.0,11.1,6.0,0.0,0.0,0.0,1.9,10.4,0.0,0.5,0.0,0.0,2.7,1.6,0.2,0.0
1974,10,2.2,0.0,0.0,1.0,5.7,3.6,0.0,0.0,0.4,6.4,0.5,0.0,0.3,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
1974,11,0.6,0.0,0.3,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,1.3,0.9,0.5,0.0,0.1,0.2,3.0,0.0,26.6,0.0
1974,12,0.6,0.5,0.0,0.0,6.8,19.4,0.9,0.0,0.0,0.0,2.0,0.0,0.0,1.2,0.0,0.3,2.8,0.0,0.4,1.2,1.0,0.4,1.4,1.0,0.7,23.8,0.0,5.0,0.2,0.0,4.8
1975,1,0.0,2.0,0.0,3.7,0.0,0.4,3.0,1.5,0.0,0.0,1.6,0.0,0.4,0.0,0.0,7.0,6.6,1.8,4.2,1.2,0.0,0.0,25.4,0.0,2.2,0.3,0.0,3.5,0.0,20.2,17.3
1975,2,0.0,0.0,15.4,0.7,1.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,1.1,3.3,33.2,15.2,0.4,1.8,1.0,0.9,0.0,45.0,12.0,0.0,0.2,0.6,5.0,0.0,0.0,0.0,0.0
1975,3,30.4,27.0,5.2,7.2,21.0,51.1,1.9,22.2,26.9,0.0,5.8,0.7,17.9,68.2,13.4,0.0,32.7,20.7,0.8,0.3,13.0,28.7,24.8,13.1,13.3,0.5,0.0,0.0,0.0,0.3,4.5
1975,4,17.4,1.3,2.0,18.6,1.2,0.0,0.4,0.0,0.0,0.0,0.5,4.7,1.8,1.1,40.7,21.4,9.9,7.8,12.4,19.0,36.6,14.5,6.7,23.0,0.2,0.0,5.7,4.0,10.5,3.0,0.0
1975,5,0.3,6.1,12.2,2.0,60.1,8.1,1.0,0.1,0.0,1.2,15.2,6.9,20.0,17.0,18.5,17.9,0.4,7.2,0.0,0.4,4.3,1.0,37.0,37.7,11.2,0.8,24.3,3.3,24.2,30.6,6.3
